,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
726,BPCL.NS,Long Closed,2012-12-20,59.49,2013-03-06,65.62,840.0,49972.999,5149.2,10.304,Exit Trigger,76 days
727,BPCL.NS,Long Closed,2013-04-29,68.55,2013-06-07,62.0,729.0,49972.952,-4774.95,-9.555,Exit Trigger,39 days
728,BPCL.NS,Long Closed,2013-10-01,54.76,2013-12-05,59.17,913.0,49994.356,4026.33,8.054,Exit Trigger,65 days
729,BPCL.NS,Long Closed,2013-12-30,58.83,2014-01-07,55.08,849.0,49949.499,-3183.75,-6.374,Exit Trigger,8 days
730,BPCL.NS,Long Closed,2014-02-10,58.37,2014-08-11,95.36,856.0,49961.865,31663.44,63.375,Exit Trigger,182 days
731,BPCL.NS,Long Closed,2014-08-19,109.82,2014-10-28,114.83,455.0,49966.583,2279.55,4.562,Exit Trigger,70 days
732,BPCL.NS,Long Closed,2014-10-31,117.33,2014-12-18,108.35,426.0,49984.001,-3825.48,-7.653,Exit Trigger,48 days
733,BPCL.NS,Long Closed,2015-02-04,120.83,2015-05-15,126.63,413.0,49904.168,2395.4,4.8,Exit Trigger,100 days
734,BPCL.NS,Long Closed,2015-06-03,141.2,2015-08-27,143.33,354.0,49984.799,754.02,1.508,Exit Trigger,85 days
735,BPCL.NS,Long Closed,2015-10-21,152.0,2016-01-04,148.15,328.0,49856.0,-1262.8,-2.533,Exit Trigger,75 days
736,BPCL.NS,Long Closed,2016-03-31,150.65,2016-12-05,201.63,331.0,49865.148,16874.38,33.84,Exit Trigger,249 days
737,BPCL.NS,Long Closed,2017-01-16,220.88,2017-03-14,212.0,226.0,49919.633,-2006.88,-4.02,Exit Trigger,57 days
738,BPCL.NS,Long Closed,2017-04-21,241.48,2017-06-16,225.7,207.0,49987.051,-3266.46,-6.535,Exit Trigger,56 days
739,BPCL.NS,Long Closed,2017-08-02,242.8,2017-10-05,241.05,205.0,49774.001,-358.75,-0.721,Exit Trigger,64 days
